Index Name,DATE,pe,pb,divYield,pe*pb
Nifty Oil & Gas,2026-01-01,11.33,1.68,2.78,19.034399999999998
Nifty Oil & Gas,2026-01-02,11.43,1.7,2.75,19.430999999999997
Nifty Oil & Gas,2026-01-05,11.32,1.68,2.78,19.017599999999998
Nifty Oil & Gas,2026-01-06,11.12,1.65,2.83,18.348
Nifty Oil & Gas,2026-01-07,11.05,1.64,2.85,18.122
Nifty Oil & Gas,2026-01-08,10.73,1.6,2.93,17.168000000000003
Nifty Oil & Gas,2026-01-09,10.77,1.6,2.92,17.232
Nifty Oil & Gas,2026-01-12,10.83,1.61,2.9,17.436300000000003
Nifty Oil & Gas,2026-01-13,10.8,1.6,2.91,17.28
Nifty Oil & Gas,2026-01-14,10.85,1.61,2.9,17.4685
Nifty Oil & Gas,2026-01-16,10.89,1.62,2.89,17.641800000000003
Nifty Oil & Gas,2026-01-19,10.72,1.59,2.94,17.044800000000002
,,,,,
