Index Name,DATE,pe,pb,divYield,pe*pb
Nifty Financial Services,2011-09-07,18.55,2.71,1.24,50.2705
Nifty Financial Services,2011-09-08,18.59,2.71,1.24,50.3789
Nifty Financial Services,2011-09-09,18.24,2.66,1.27,48.5184
Nifty Financial Services,2011-09-12,17.75,2.59,1.30,45.9725
Nifty Financial Services,2011-09-13,17.65,2.58,1.31,45.537
Nifty Financial Services,2011-09-14,17.84,2.6,1.29,46.384
Nifty Financial Services,2011-09-15,18.17,2.65,1.27,48.1505
Nifty Financial Services,2011-09-16,18.35,2.68,1.26,49.178000000000004
Nifty Financial Services,2011-09-19,18.11,2.64,1.27,47.8104
Nifty Financial Services,2011-09-20,18.57,2.71,1.24,50.3247
Nifty Financial Services,2011-09-21,18.71,2.73,1.23,51.0783
Nifty Financial Services,2011-09-22,17.89,2.61,1.29,46.6929
Nifty Financial Services,2011-09-23,17.56,2.56,1.32,44.953599999999994
Nifty Financial Services,2011-09-26,17.52,2.56,1.32,44.8512
Nifty Financial Services,2011-09-27,17.97,2.62,1.29,47.0814
Nifty Financial Services,2011-09-28,17.77,2.59,1.30,46.0243
Nifty Financial Services,2011-09-29,18.07,2.64,1.28,47.704800000000006
Nifty Financial Services,2011-09-30,17.74,2.59,1.30,45.9466
Nifty Financial Services,2011-10-03,17.29,2.52,1.34,43.5708
Nifty Financial Services,2011-10-04,16.83,2.46,1.37,41.401799999999994
Nifty Financial Services,2011-10-05,16.54,2.41,1.40,39.8614
Nifty Financial Services,2011-10-07,17.16,2.51,1.35,43.0716
Nifty Financial Services,2011-10-10,17.49,2.55,1.32,44.59949999999999
Nifty Financial Services,2011-10-11,17.55,2.56,1.32,44.928000000000004
Nifty Financial Services,2011-10-12,18.02,2.63,1.28,47.392599999999995
Nifty Financial Services,2011-10-13,18.1,2.64,1.28,47.784000000000006
Nifty Financial Services,2011-10-14,18.22,2.66,1.27,48.4652
Nifty Financial Services,2011-10-17,18.33,2.68,1.26,49.1244
