Index Name,DATE,pe,pb,divYield,pe*pb
Nifty Midcap Select,2021-09-14,54.07,3.38,0.75,182.7566
Nifty Midcap Select,2021-09-15,54.79,3.42,0.82,187.3818
Nifty Midcap Select,2021-09-16,55.1,3.44,0.90,189.544
Nifty Midcap Select,2021-09-17,54.63,3.41,0.85,186.28830000000002
Nifty Midcap Select,2021-09-20,53.33,3.33,0.88,177.5889
Nifty Midcap Select,2021-09-21,53.61,3.35,0.87,179.5935
Nifty Midcap Select,2021-09-22,55.2,3.45,0.85,190.44000000000003
Nifty Midcap Select,2021-09-23,56.0,3.5,0.83,196.0
Nifty Midcap Select,2021-09-24,55.48,3.24,0.84,179.7552
Nifty Midcap Select,2021-09-27,55.79,3.26,0.84,181.87539999999998
Nifty Midcap Select,2021-09-28,55.28,3.23,0.84,178.55440000000002
Nifty Midcap Select,2021-09-29,55.85,3.26,0.84,182.071
Nifty Midcap Select,2021-09-30,28.72,3.26,0.99,93.62719999999999
Nifty Midcap Select,2021-10-01,28.62,3.24,0.99,92.7288
Nifty Midcap Select,2021-10-04,29.1,3.3,0.98,96.03
Nifty Midcap Select,2021-10-05,29.24,3.32,0.97,97.07679999999999
Nifty Midcap Select,2021-10-06,28.85,3.27,0.99,94.3395
Nifty Midcap Select,2021-10-07,29.58,3.35,0.96,99.093
Nifty Midcap Select,2021-10-08,29.52,3.35,0.96,98.892
Nifty Midcap Select,2021-10-11,29.95,3.39,0.95,101.5305
Nifty Midcap Select,2021-10-12,30.27,3.43,0.94,103.8261
Nifty Midcap Select,2021-10-13,30.77,3.49,0.92,107.38730000000001
Nifty Midcap Select,2021-10-14,30.78,3.49,0.92,107.4222
Nifty Midcap Select,2021-10-18,31.3,3.55,0.91,111.115
Nifty Midcap Select,2021-10-19,30.47,3.43,0.93,104.5121
Nifty Midcap Select,2021-10-20,30.09,3.38,0.94,101.7042
Nifty Midcap Select,2021-10-21,30.16,3.39,0.94,102.2424
Nifty Midcap Select,2021-10-22,30.09,3.38,0.94,101.7042
Nifty Midcap Select,2021-10-25,29.89,3.31,0.96,98.9359
Nifty Midcap Select,2021-10-26,30.39,3.4,0.94,103.326
Nifty Midcap Select,2021-10-27,30.06,3.4,0.94,102.204
Nifty Midcap Select,2021-10-28,29.46,3.33,0.96,98.10180000000001
Nifty Midcap Select,2021-10-29,29.47,3.33,0.96,98.1351
Nifty Midcap Select,2021-11-01,29.43,3.39,0.94,99.7677
Nifty Midcap Select,2021-11-02,29.12,3.44,0.95,100.1728
Nifty Midcap Select,2021-11-03,29.09,3.43,0.95,99.7787
Nifty Midcap Select,2021-11-04,29.28,3.46,0.95,101.3088
Nifty Midcap Select,2021-11-08,29.53,3.51,0.93,103.6503
Nifty Midcap Select,2021-11-09,29.86,3.54,0.93,105.70439999999999
Nifty Midcap Select,2021-11-10,29.69,3.52,0.94,104.50880000000001
Nifty Midcap Select,2021-11-11,29.68,3.49,0.99,103.5832
Nifty Midcap Select,2021-11-12,29.73,3.5,0.98,104.055
Nifty Midcap Select,2021-11-15,29.52,3.51,0.87,103.61519999999999
Nifty Midcap Select,2021-11-16,29.18,3.5,0.88,102.13
Nifty Midcap Select,2021-11-17,28.92,3.47,1.00,100.35240000000002
Nifty Midcap Select,2021-11-18,28.37,3.4,1.01,96.458
Nifty Midcap Select,2021-11-22,27.49,3.3,1.03,90.71699999999998
Nifty Midcap Select,2021-11-23,28.08,3.37,0.89,94.6296
Nifty Midcap Select,2021-11-24,28.05,3.36,0.89,94.248
Nifty Midcap Select,2021-11-25,28.15,3.38,0.90,95.14699999999999
Nifty Midcap Select,2021-11-26,26.99,3.24,0.94,87.4476
Nifty Midcap Select,2021-11-29,26.55,3.18,0.95,84.429
Nifty Midcap Select,2021-11-30,26.55,3.18,0.95,84.429
Nifty Midcap Select,2021-12-01,26.91,3.23,0.94,86.9193
Nifty Midcap Select,2021-12-02,27.18,3.26,0.93,88.60679999999999
Nifty Midcap Select,2021-12-03,27.2,3.26,0.93,88.672
Nifty Midcap Select,2021-12-06,26.88,3.22,0.94,86.5536
Nifty Midcap Select,2021-12-07,27.25,3.27,0.93,89.1075
Nifty Midcap Select,2021-12-08,27.69,3.32,0.91,91.9308
Nifty Midcap Select,2021-12-09,27.78,3.33,0.91,92.5074
Nifty Midcap Select,2021-12-10,27.97,3.36,0.90,93.97919999999999
Nifty Midcap Select,2021-12-13,27.82,3.34,0.91,92.91879999999999
Nifty Midcap Select,2021-12-14,27.73,3.33,0.91,92.3409
Nifty Midcap Select,2021-12-15,27.48,3.3,0.92,90.684
Nifty Midcap Select,2021-12-16,27.34,3.28,0.92,89.67519999999999
Nifty Midcap Select,2021-12-17,26.5,3.18,0.95,84.27000000000001
Nifty Midcap Select,2021-12-20,25.52,3.06,0.99,78.0912
Nifty Midcap Select,2021-12-21,25.9,3.11,0.98,80.54899999999999
Nifty Midcap Select,2021-12-22,26.3,3.15,0.96,82.845
Nifty Midcap Select,2021-12-23,26.57,3.19,0.95,84.7583
Nifty Midcap Select,2021-12-24,26.21,3.14,0.96,82.2994
Nifty Midcap Select,2021-12-27,26.23,3.15,0.96,82.6245
Nifty Midcap Select,2021-12-28,26.46,3.17,0.95,83.8782
Nifty Midcap Select,2021-12-29,26.47,3.17,0.95,83.9099
Nifty Midcap Select,2021-12-30,26.42,3.17,0.96,83.7514
Nifty Midcap Select,2021-12-31,26.8,3.21,0.94,86.028
Nifty Midcap Select,2022-01-03,27.19,3.26,0.93,88.6394
Nifty Midcap Select,2022-01-04,27.36,3.28,0.92,89.7408
Nifty Midcap Select,2022-01-05,27.5,3.3,0.92,90.75
Nifty Midcap Select,2022-01-06,27.65,3.32,0.91,91.79799999999999
Nifty Midcap Select,2022-01-07,27.89,3.34,0.91,93.15259999999999
Nifty Midcap Select,2022-01-10,28.18,3.38,0.90,95.24839999999999
Nifty Midcap Select,2022-01-11,28.32,3.4,0.89,96.288
Nifty Midcap Select,2022-01-12,28.72,3.44,0.88,98.79679999999999
Nifty Midcap Select,2022-01-13,28.91,3.47,0.87,100.3177
Nifty Midcap Select,2022-01-14,28.92,3.47,0.87,100.35240000000002
Nifty Midcap Select,2022-01-17,28.93,3.47,0.87,100.3871
Nifty Midcap Select,2022-01-18,28.33,3.4,0.89,96.32199999999999
Nifty Midcap Select,2022-01-19,28.33,3.4,0.89,96.32199999999999
Nifty Midcap Select,2022-01-20,28.22,3.38,0.90,95.38359999999999
Nifty Midcap Select,2022-01-21,27.5,3.3,0.92,90.75
Nifty Midcap Select,2022-01-24,26.42,3.17,0.95,83.7514
Nifty Midcap Select,2022-01-25,26.78,3.22,0.94,86.23160000000001
Nifty Midcap Select,2022-01-27,26.89,3.21,0.94,86.3169
Nifty Midcap Select,2022-01-28,26.82,3.24,0.94,86.89680000000001
Nifty Midcap Select,2022-01-31,27.15,3.28,0.91,89.05199999999999
Nifty Midcap Select,2022-02-01,27.42,3.32,0.90,91.0344
Nifty Midcap Select,2022-02-02,27.75,3.36,0.90,93.24
Nifty Midcap Select,2022-02-03,27.5,3.33,0.92,91.575
Nifty Midcap Select,2022-02-04,26.39,3.28,0.93,86.55919999999999
Nifty Midcap Select,2022-02-07,26.17,3.25,0.94,85.05250000000001
Nifty Midcap Select,2022-02-08,25.67,3.23,0.91,82.9141
Nifty Midcap Select,2022-02-09,26.1,3.28,0.93,85.608
Nifty Midcap Select,2022-02-10,26.25,3.29,0.93,86.3625
Nifty Midcap Select,2022-02-11,25.28,3.22,0.95,81.4016
Nifty Midcap Select,2022-02-14,23.98,3.08,0.99,73.8584
Nifty Midcap Select,2022-02-15,24.95,3.19,1.06,79.59049999999999
Nifty Midcap Select,2022-02-16,24.88,3.18,1.06,79.1184
Nifty Midcap Select,2022-02-17,24.83,3.18,1.06,78.9594
Nifty Midcap Select,2022-02-18,24.61,3.15,1.07,77.52149999999999
Nifty Midcap Select,2022-02-21,24.38,3.12,1.11,76.0656
Nifty Midcap Select,2022-02-22,24.18,3.1,1.12,74.958
Nifty Midcap Select,2022-02-23,24.21,3.1,1.12,75.051
Nifty Midcap Select,2022-02-24,22.73,2.91,1.19,66.1443
Nifty Midcap Select,2022-02-25,23.7,3.03,1.14,71.81099999999999
Nifty Midcap Select,2022-02-28,23.92,3.06,1.13,73.1952
Nifty Midcap Select,2022-03-02,23.85,3.05,1.13,72.7425
Nifty Midcap Select,2022-03-03,23.6,3.02,1.15,71.272
Nifty Midcap Select,2022-03-04,23.03,2.95,1.17,67.9385
Nifty Midcap Select,2022-03-07,22.44,2.87,1.20,64.4028
Nifty Midcap Select,2022-03-08,22.77,2.91,1.19,66.2607
Nifty Midcap Select,2022-03-09,23.37,2.99,1.16,69.87630000000001
Nifty Midcap Select,2022-03-10,23.53,3.01,1.15,70.8253
Nifty Midcap Select,2022-03-11,23.67,3.03,1.19,71.7201
Nifty Midcap Select,2022-03-14,23.71,3.04,1.19,72.0784
Nifty Midcap Select,2022-03-15,23.65,3.03,1.19,71.6595
Nifty Midcap Select,2022-03-16,24.2,3.1,1.17,75.02
Nifty Midcap Select,2022-03-17,24.63,3.15,1.15,77.58449999999999
Nifty Midcap Select,2022-03-21,24.33,3.11,1.06,75.66629999999999
Nifty Midcap Select,2022-03-22,24.42,3.13,1.05,76.4346
Nifty Midcap Select,2022-03-23,24.5,3.14,1.01,76.93
Nifty Midcap Select,2022-03-24,24.66,3.16,1.04,77.9256
Nifty Midcap Select,2022-03-25,24.62,3.15,1.06,77.553
Nifty Midcap Select,2022-03-28,24.48,3.13,1.07,76.6224
Nifty Midcap Select,2022-03-29,24.58,3.15,1.07,77.42699999999999
Nifty Midcap Select,2022-03-30,24.82,3.18,1.05,78.9276
Nifty Midcap Select,2022-03-31,31.89,4.59,0.98,146.3751
