Index Name,DATE,pe,pb,divYield,pe*pb
Nifty Next 50,1999-01-01,12.12,1.98,1.77,23.9976
Nifty Next 50,1999-01-04,12.26,2.01,1.74,24.642599999999998
Nifty Next 50,1999-01-05,12.41,2.03,1.72,25.1923
Nifty Next 50,1999-01-06,12.57,2.06,1.70,25.8942
Nifty Next 50,1999-01-07,12.69,2.08,1.69,26.3952
Nifty Next 50,1999-01-08,13.13,2.15,1.61,28.2295
Nifty Next 50,1999-01-11,13.25,2.17,1.59,28.752499999999998
Nifty Next 50,1999-01-12,12.97,2.12,1.63,27.4964
Nifty Next 50,1999-01-13,13.19,2.16,1.60,28.4904
Nifty Next 50,1999-01-14,13.11,2.15,1.61,28.1865
Nifty Next 50,1999-01-15,12.86,2.1,1.64,27.006
Nifty Next 50,1999-01-18,13.02,2.13,1.62,27.732599999999998
Nifty Next 50,1999-01-19,12.8,2.1,1.65,26.880000000000003
Nifty Next 50,1999-01-21,13.28,2.17,1.59,28.8176
Nifty Next 50,1999-01-22,13.27,2.17,1.59,28.7959
Nifty Next 50,1999-01-25,13.22,2.16,1.60,28.555200000000003
Nifty Next 50,1999-01-27,13.61,2.23,1.55,30.350299999999997
Nifty Next 50,1999-01-28,13.33,2.18,1.59,29.059400000000004
Nifty Next 50,1999-01-29,13.37,2.19,1.56,29.280299999999997
Nifty Next 50,1999-02-01,13.13,2.15,1.59,28.2295
Nifty Next 50,1999-02-02,12.89,2.11,1.62,27.1979
Nifty Next 50,1999-02-03,13.73,2.25,1.47,30.892500000000002
Nifty Next 50,1999-02-04,13.53,2.22,1.49,30.0366
Nifty Next 50,1999-02-05,13.53,2.22,1.49,30.0366
Nifty Next 50,1999-02-08,13.34,2.19,1.51,29.214599999999997
Nifty Next 50,1999-02-09,13.52,2.22,1.49,30.014400000000002
Nifty Next 50,1999-02-10,13.96,2.29,1.44,31.968400000000003
Nifty Next 50,1999-02-11,14.08,2.31,1.43,32.5248
Nifty Next 50,1999-02-12,14.26,2.34,1.41,33.368399999999994
Nifty Next 50,1999-02-15,14.05,2.3,1.43,32.315
Nifty Next 50,1999-02-16,14.22,2.33,1.42,33.132600000000004
Nifty Next 50,1999-02-17,14.63,2.4,1.38,35.112
Nifty Next 50,1999-02-18,14.67,2.4,1.37,35.208
Nifty Next 50,1999-02-19,14.56,2.39,1.37,34.7984
Nifty Next 50,1999-02-22,14.09,2.31,1.41,32.5479
Nifty Next 50,1999-02-23,13.93,2.28,1.43,31.760399999999997
Nifty Next 50,1999-02-24,14.03,2.3,1.42,32.269
Nifty Next 50,1999-02-25,13.89,2.28,1.43,31.6692
Nifty Next 50,1999-02-26,13.79,2.26,1.44,31.165399999999995
Nifty Next 50,1999-02-27,14.56,2.39,1.37,34.7984
Nifty Next 50,1999-03-01,15.21,2.49,1.31,37.87290000000001
Nifty Next 50,1999-03-03,15.62,2.56,1.28,39.9872
Nifty Next 50,1999-03-04,15.43,2.53,1.30,39.03789999999999
Nifty Next 50,1999-03-05,15.66,2.57,1.27,40.246199999999995
Nifty Next 50,1999-03-08,15.74,2.58,1.26,40.6092
Nifty Next 50,1999-03-09,15.76,2.58,1.26,40.6608
Nifty Next 50,1999-03-10,16.21,2.66,1.27,43.11860000000001
Nifty Next 50,1999-03-11,15.77,2.58,1.31,40.6866
Nifty Next 50,1999-03-12,16.05,2.63,1.26,42.2115
Nifty Next 50,1999-03-15,16.29,2.67,1.24,43.494299999999996
Nifty Next 50,1999-03-16,16.15,2.65,1.25,42.79749999999999
Nifty Next 50,1999-03-17,16.32,2.67,1.26,43.5744
Nifty Next 50,1999-03-18,16.73,2.74,1.23,45.8402
Nifty Next 50,1999-03-19,16.4,2.69,1.23,44.11599999999999
Nifty Next 50,1999-03-20,16.39,2.69,1.23,44.0891
Nifty Next 50,1999-03-22,16.55,2.71,1.22,44.850500000000004
Nifty Next 50,1999-03-23,16.59,2.72,1.22,45.1248
Nifty Next 50,1999-03-24,16.55,2.71,1.22,44.850500000000004
Nifty Next 50,1999-03-25,16.5,2.7,1.22,44.550000000000004
Nifty Next 50,1999-03-26,16.24,2.66,1.24,43.1984
Nifty Next 50,1999-03-30,16.43,2.69,1.23,44.1967
Nifty Next 50,1999-03-31,18.92,3.19,1.18,60.354800000000004
Nifty Next 50,1999-04-01,18.95,3.19,1.18,60.4505
Nifty Next 50,1999-04-05,17.87,3.01,1.25,53.7887
Nifty Next 50,1999-04-06,17.84,3.01,1.25,53.69839999999999
Nifty Next 50,1999-04-07,17.95,3.03,1.24,54.38849999999999
Nifty Next 50,1999-04-08,17.68,2.98,1.26,52.6864
Nifty Next 50,1999-04-09,17.1,2.88,1.31,49.248000000000005
Nifty Next 50,1999-04-12,17.14,2.89,1.30,49.534600000000005
Nifty Next 50,1999-04-13,16.9,2.85,1.32,48.165
Nifty Next 50,1999-04-15,16.25,2.74,1.37,44.525000000000006
Nifty Next 50,1999-04-16,17.35,2.92,1.27,50.662000000000006
Nifty Next 50,1999-04-17,16.03,2.7,1.37,43.281000000000006
Nifty Next 50,1999-04-19,16.3,2.75,1.35,44.825
Nifty Next 50,1999-04-20,16.49,2.78,1.34,45.84219999999999
Nifty Next 50,1999-04-21,16.84,2.84,1.31,47.825599999999994
Nifty Next 50,1999-04-22,16.52,2.78,1.33,45.925599999999996
Nifty Next 50,1999-04-23,16.36,2.76,1.33,45.1536
Nifty Next 50,1999-04-26,15.39,2.6,1.41,40.014
Nifty Next 50,1999-04-28,15.66,2.64,1.51,41.342400000000005
Nifty Next 50,1999-04-29,16.21,2.73,1.46,44.2533
Nifty Next 50,1999-04-30,16.54,2.79,1.43,46.1466
Nifty Next 50,1999-05-03,16.37,2.76,1.45,45.1812
Nifty Next 50,1999-05-04,17.03,2.87,1.39,48.87610000000001
Nifty Next 50,1999-05-05,17.16,2.89,1.38,49.592400000000005
Nifty Next 50,1999-05-06,17.37,2.93,1.36,50.89410000000001
Nifty Next 50,1999-05-07,17.55,2.96,1.35,51.948
Nifty Next 50,1999-05-10,17.87,3.01,1.32,53.7887
Nifty Next 50,1999-05-11,18.08,3.05,1.31,55.14399999999999
Nifty Next 50,1999-05-12,17.57,2.96,1.35,52.0072
Nifty Next 50,1999-05-13,18.06,3.04,1.31,54.9024
Nifty Next 50,1999-05-14,18.22,3.07,1.30,55.935399999999994
Nifty Next 50,1999-05-17,17.92,3.02,1.32,54.11840000000001
Nifty Next 50,1999-05-18,18.02,3.04,1.31,54.7808
Nifty Next 50,1999-05-19,18.48,3.12,1.32,57.6576
Nifty Next 50,1999-05-20,18.54,3.13,1.31,58.030199999999994
Nifty Next 50,1999-05-21,18.13,3.07,1.34,55.659099999999995
Nifty Next 50,1999-05-24,18.1,3.06,1.34,55.386
Nifty Next 50,1999-05-25,18.15,3.07,1.33,55.720499999999994
Nifty Next 50,1999-05-26,17.45,2.97,1.47,51.8265
Nifty Next 50,1999-05-27,17.0,2.87,1.51,48.79
Nifty Next 50,1999-05-28,16.56,2.8,1.55,46.367999999999995
Nifty Next 50,1999-05-31,17.22,2.91,1.49,50.1102
Nifty Next 50,1999-06-01,17.03,2.88,1.50,49.0464
Nifty Next 50,1999-06-02,17.04,2.88,1.56,49.075199999999995
Nifty Next 50,1999-06-03,17.17,2.9,1.54,49.793000000000006
Nifty Next 50,1999-06-04,15.69,2.49,1.34,39.0681
Nifty Next 50,1999-06-07,15.59,2.47,1.35,38.5073
Nifty Next 50,1999-06-08,15.97,2.53,1.31,40.4041
Nifty Next 50,1999-06-09,15.94,2.53,1.42,40.328199999999995
Nifty Next 50,1999-06-10,15.98,2.53,1.42,40.4294
Nifty Next 50,1999-06-11,15.65,2.48,1.45,38.812
Nifty Next 50,1999-06-14,15.27,2.42,1.48,36.953399999999995
Nifty Next 50,1999-06-15,14.99,2.38,1.51,35.6762
Nifty Next 50,1999-06-16,15.06,2.39,1.66,35.9934
Nifty Next 50,1999-06-17,15.17,2.4,1.65,36.408
Nifty Next 50,1999-06-18,15.11,2.4,1.57,36.263999999999996
Nifty Next 50,1999-06-21,15.39,2.44,1.39,37.5516
Nifty Next 50,1999-06-22,15.58,2.47,1.52,38.482600000000005
Nifty Next 50,1999-06-23,15.63,2.48,1.63,38.7624
Nifty Next 50,1999-06-24,15.43,2.45,1.65,37.8035
Nifty Next 50,1999-06-25,15.34,2.43,1.51,37.2762
Nifty Next 50,1999-06-28,15.43,2.47,1.49,38.112100000000005
Nifty Next 50,1999-06-29,15.46,2.48,1.48,38.3408
Nifty Next 50,1999-06-30,15.47,2.48,1.48,38.3656
Nifty Next 50,1999-07-01,15.28,2.45,1.50,37.436
Nifty Next 50,1999-07-02,15.38,2.46,1.49,37.8348
Nifty Next 50,1999-07-05,15.81,2.53,1.45,39.9993
Nifty Next 50,1999-07-06,16.03,2.57,1.43,41.1971
Nifty Next 50,1999-07-07,16.15,2.59,1.62,41.82849999999999
Nifty Next 50,1999-07-08,16.02,2.56,1.63,41.0112
Nifty Next 50,1999-07-09,16.18,2.59,1.43,41.9062
Nifty Next 50,1999-07-12,16.76,2.68,1.38,44.91680000000001
Nifty Next 50,1999-07-13,16.52,2.65,1.40,43.778
Nifty Next 50,1999-07-14,16.8,2.69,1.42,45.192
Nifty Next 50,1999-07-15,16.44,2.63,1.45,43.2372
Nifty Next 50,1999-07-16,16.58,2.66,1.37,44.102799999999995
Nifty Next 50,1999-07-19,17.16,2.75,1.33,47.19
Nifty Next 50,1999-07-20,16.84,2.7,1.01,45.468
Nifty Next 50,1999-07-21,17.61,2.82,0.98,49.660199999999996
Nifty Next 50,1999-07-22,17.68,2.83,1.07,50.0344
Nifty Next 50,1999-07-23,17.98,2.84,1.26,51.0632
Nifty Next 50,1999-07-26,18.03,2.85,1.25,51.38550000000001
Nifty Next 50,1999-07-27,17.69,2.8,1.28,49.532000000000004
Nifty Next 50,1999-07-28,18.09,2.86,1.37,51.737399999999994
Nifty Next 50,1999-07-29,17.91,2.84,1.38,50.864399999999996
