Index Name,DATE,pe,pb,divYield,pe*pb
Nifty Bank,2003-09-15,6.57,1.38,3.25,9.0666
Nifty Bank,2003-09-16,6.75,1.42,3.16,9.584999999999999
Nifty Bank,2003-09-17,6.66,1.4,3.20,9.324
Nifty Bank,2003-09-18,6.37,1.34,3.35,8.5358
Nifty Bank,2003-09-19,6.41,1.35,3.33,8.653500000000001
Nifty Bank,2003-09-22,6.3,1.32,3.39,8.316
Nifty Bank,2003-09-23,6.45,1.35,3.31,8.707500000000001
Nifty Bank,2003-09-24,6.62,1.39,3.23,9.201799999999999
Nifty Bank,2003-09-25,6.52,1.37,3.28,8.9324
Nifty Bank,2003-09-26,6.79,1.42,3.15,9.6418
Nifty Bank,2003-09-29,6.92,1.45,3.09,10.033999999999999
Nifty Bank,2003-09-30,7.09,1.49,3.01,10.5641
Nifty Bank,2003-10-01,7.06,1.48,3.02,10.448799999999999
Nifty Bank,2003-10-03,7.22,1.52,2.96,10.9744
Nifty Bank,2003-10-06,7.41,1.55,2.88,11.4855
Nifty Bank,2003-10-07,7.4,1.55,2.89,11.47
Nifty Bank,2003-10-08,7.57,1.59,2.82,12.0363
Nifty Bank,2003-10-09,7.71,1.62,2.77,12.490200000000002
Nifty Bank,2003-10-10,7.62,1.6,2.80,12.192
Nifty Bank,2003-10-13,7.8,1.64,2.74,12.792
Nifty Bank,2003-10-14,7.66,1.61,2.79,12.332600000000001
Nifty Bank,2003-10-15,7.82,1.64,2.73,12.8248
Nifty Bank,2003-10-16,8.12,1.7,2.63,13.803999999999998
Nifty Bank,2003-10-17,8.04,1.69,2.66,13.587599999999998
Nifty Bank,2003-10-20,7.9,1.66,2.70,13.114
Nifty Bank,2003-10-21,7.71,1.62,2.77,12.490200000000002
Nifty Bank,2003-10-22,7.69,1.61,2.78,12.380900000000002
Nifty Bank,2003-10-23,7.64,1.6,2.79,12.224
Nifty Bank,2003-10-24,7.85,1.65,2.72,12.952499999999999
Nifty Bank,2003-10-25,7.94,1.67,2.69,13.2598
Nifty Bank,2003-10-27,7.74,1.63,2.76,12.6162
Nifty Bank,2003-10-28,7.65,1.61,2.79,12.316500000000001
Nifty Bank,2003-10-29,7.76,1.63,2.75,12.6488
Nifty Bank,2003-10-30,7.84,1.65,2.72,12.936
Nifty Bank,2003-10-31,8.01,1.68,2.66,13.4568
Nifty Bank,2003-11-03,7.94,1.67,2.69,13.2598
Nifty Bank,2003-11-04,8.03,1.68,2.66,13.4904
Nifty Bank,2003-11-05,7.88,1.65,2.71,13.001999999999999
Nifty Bank,2003-11-06,7.85,1.65,2.72,12.952499999999999
Nifty Bank,2003-11-07,7.81,1.64,2.73,12.808399999999999
Nifty Bank,2003-11-10,7.76,1.63,2.75,12.6488
Nifty Bank,2003-11-11,7.84,1.64,2.72,12.8576
Nifty Bank,2003-11-12,7.88,1.65,2.71,13.001999999999999
Nifty Bank,2003-11-13,7.75,1.63,2.75,12.632499999999999
Nifty Bank,2003-11-14,7.59,1.59,2.81,12.068100000000001
Nifty Bank,2003-11-15,7.63,1.6,2.80,12.208
Nifty Bank,2003-11-17,7.7,1.62,2.77,12.474000000000002
Nifty Bank,2003-11-18,7.58,1.59,2.81,12.052200000000001
Nifty Bank,2003-11-19,7.43,1.56,2.87,11.5908
Nifty Bank,2003-11-20,7.3,1.53,2.93,11.169
Nifty Bank,2003-11-21,7.31,1.53,2.92,11.1843
Nifty Bank,2003-11-24,7.36,1.55,2.90,11.408000000000001
Nifty Bank,2003-11-25,7.47,1.57,2.86,11.7279
Nifty Bank,2003-11-27,7.62,1.6,2.80,12.192
Nifty Bank,2003-11-28,7.7,1.62,2.77,12.474000000000002
Nifty Bank,2003-12-01,7.74,1.62,2.76,12.538800000000002
Nifty Bank,2003-12-02,7.87,1.65,2.71,12.9855
Nifty Bank,2003-12-03,8.04,1.69,2.65,13.587599999999998
Nifty Bank,2003-12-04,7.93,1.66,2.69,13.163799999999998
Nifty Bank,2003-12-05,7.75,1.63,2.76,12.632499999999999
Nifty Bank,2003-12-08,7.71,1.62,2.77,12.490200000000002
Nifty Bank,2003-12-09,7.84,1.64,2.72,12.8576
Nifty Bank,2003-12-10,7.87,1.65,2.71,12.9855
Nifty Bank,2003-12-11,8.06,1.69,2.65,13.621400000000001
Nifty Bank,2003-12-12,8.12,1.7,2.63,13.803999999999998
Nifty Bank,2003-12-15,8.13,1.71,2.63,13.9023
Nifty Bank,2003-12-16,8.11,1.7,2.63,13.786999999999999
Nifty Bank,2003-12-17,8.05,1.69,2.65,13.604500000000002
Nifty Bank,2003-12-18,8.07,1.69,2.64,13.6383
Nifty Bank,2003-12-19,8.19,1.72,2.61,14.086799999999998
Nifty Bank,2003-12-22,8.48,1.78,2.52,15.0944
Nifty Bank,2003-12-23,8.48,1.78,2.52,15.0944
Nifty Bank,2003-12-24,8.58,1.8,2.49,15.444
Nifty Bank,2003-12-26,8.77,1.84,2.44,16.1368
Nifty Bank,2003-12-29,9.07,1.9,2.35,17.233
Nifty Bank,2003-12-30,8.97,1.88,2.38,16.8636
Nifty Bank,2003-12-31,9.05,1.9,2.36,17.195
Nifty Bank,2004-01-01,9.32,1.96,2.29,18.2672
Nifty Bank,2004-01-02,9.38,1.97,2.28,18.4786
Nifty Bank,2004-01-05,9.6,2.01,2.22,19.295999999999996
Nifty Bank,2004-01-06,9.54,2.0,2.24,19.08
Nifty Bank,2004-01-07,9.39,1.97,2.27,18.4983
Nifty Bank,2004-01-08,9.69,2.03,2.20,19.670699999999997
Nifty Bank,2004-01-09,9.93,2.08,2.15,20.6544
Nifty Bank,2004-01-12,10.04,2.11,2.13,21.184399999999997
Nifty Bank,2004-01-13,10.16,2.13,2.10,21.6408
Nifty Bank,2004-01-14,10.39,2.18,2.05,22.6502
Nifty Bank,2004-01-15,10.25,2.15,2.08,22.037499999999998
Nifty Bank,2004-01-16,9.82,2.06,2.17,20.229200000000002
Nifty Bank,2004-01-19,10.07,2.11,2.12,21.2477
Nifty Bank,2004-01-20,9.73,2.04,2.19,19.8492
Nifty Bank,2004-01-21,9.23,1.94,2.31,17.906200000000002
Nifty Bank,2004-01-22,9.12,1.91,2.34,17.419199999999996
Nifty Bank,2004-01-23,9.59,2.01,2.23,19.275899999999996
Nifty Bank,2004-01-27,9.96,2.09,2.14,20.8164
Nifty Bank,2004-01-28,9.71,2.04,2.20,19.808400000000002
Nifty Bank,2004-01-29,9.55,2.01,2.23,19.1955
Nifty Bank,2004-01-30,9.23,1.94,2.31,17.906200000000002
Nifty Bank,2004-02-03,8.8,1.85,2.43,16.28
Nifty Bank,2004-02-04,9.12,1.91,2.34,17.419199999999996
Nifty Bank,2004-02-05,9.15,1.92,2.33,17.568
Nifty Bank,2004-02-06,9.45,1.98,2.26,18.711
Nifty Bank,2004-02-09,9.87,2.07,2.16,20.430899999999998
Nifty Bank,2004-02-10,9.9,2.08,2.16,20.592000000000002
Nifty Bank,2004-02-11,9.9,2.08,2.16,20.592000000000002
Nifty Bank,2004-02-12,9.78,2.05,2.18,20.048999999999996
Nifty Bank,2004-02-13,9.85,2.07,2.17,20.389499999999998
Nifty Bank,2004-02-16,9.82,2.06,2.17,20.229200000000002
Nifty Bank,2004-02-17,9.93,2.08,2.15,20.6544
Nifty Bank,2004-02-18,9.87,2.07,2.16,20.430899999999998
Nifty Bank,2004-02-19,9.57,2.01,2.23,19.235699999999998
Nifty Bank,2004-02-20,9.42,1.98,2.27,18.6516
Nifty Bank,2004-02-23,9.14,1.92,2.34,17.5488
Nifty Bank,2004-02-24,9.26,1.94,2.31,17.964399999999998
Nifty Bank,2004-02-25,9.12,1.91,2.34,17.419199999999996
Nifty Bank,2004-02-26,8.96,1.88,2.38,16.8448
Nifty Bank,2004-02-27,9.11,1.91,2.34,17.4001
Nifty Bank,2004-03-01,9.36,1.97,2.28,18.4392
Nifty Bank,2004-03-03,9.37,1.97,2.28,18.4589
Nifty Bank,2004-03-04,9.44,1.98,2.26,18.6912
Nifty Bank,2004-03-05,9.55,2.0,2.24,19.1
Nifty Bank,2004-03-08,9.82,2.06,2.17,20.229200000000002
Nifty Bank,2004-03-09,9.82,2.06,2.17,20.229200000000002
Nifty Bank,2004-03-10,9.55,2.0,2.24,19.1
Nifty Bank,2004-03-11,9.34,1.96,2.28,18.3064
Nifty Bank,2004-03-12,9.34,1.96,2.29,18.3064
Nifty Bank,2004-03-15,9.09,1.91,2.35,17.3619
Nifty Bank,2004-03-16,9.04,1.9,2.36,17.176
Nifty Bank,2004-03-17,9.22,1.93,2.32,17.7946
Nifty Bank,2004-03-18,9.03,1.9,2.36,17.156999999999996
Nifty Bank,2004-03-19,9.09,1.91,2.35,17.3619
Nifty Bank,2004-03-22,8.86,1.86,2.41,16.4796
Nifty Bank,2004-03-23,8.82,1.85,2.42,16.317
Nifty Bank,2004-03-24,8.85,1.86,2.41,16.461
Nifty Bank,2004-03-25,9.04,1.9,2.36,17.176
Nifty Bank,2004-03-26,9.53,2.0,2.24,19.06
Nifty Bank,2004-03-29,9.79,2.06,2.18,20.167399999999997
Nifty Bank,2004-03-30,9.73,2.04,2.19,19.8492
Nifty Bank,2004-03-31,9.84,2.07,2.17,20.368799999999997
Nifty Bank,2004-04-01,10.04,2.11,2.13,21.184399999999997
Nifty Bank,2004-04-02,10.18,2.14,2.10,21.7852
Nifty Bank,2004-04-05,10.08,2.12,2.12,21.369600000000002
