Index Name,DATE,pe,pb,divYield,pe*pb
Nifty Midcap 150,2016-04-01,27.45,2.25,1.26,61.762499999999996
Nifty Midcap 150,2016-04-04,27.56,2.26,1.25,62.28559999999999
Nifty Midcap 150,2016-04-05,27.13,2.22,1.27,60.2286
Nifty Midcap 150,2016-04-06,27.26,2.23,1.27,60.7898
Nifty Midcap 150,2016-04-07,27.09,2.22,1.27,60.13980000000001
Nifty Midcap 150,2016-04-08,27.25,2.23,1.27,60.7675
Nifty Midcap 150,2016-04-11,27.49,2.25,1.26,61.8525
Nifty Midcap 150,2016-04-12,27.76,2.27,1.25,63.01520000000001
Nifty Midcap 150,2016-04-13,28.1,2.3,1.23,64.63
Nifty Midcap 150,2016-04-18,28.44,2.33,1.22,66.26520000000001
Nifty Midcap 150,2016-04-20,28.6,2.34,1.21,66.92399999999999
Nifty Midcap 150,2016-04-21,28.36,2.32,1.22,65.7952
Nifty Midcap 150,2016-04-22,28.33,2.32,1.22,65.72559999999999
Nifty Midcap 150,2016-04-25,28.25,2.32,1.23,65.53999999999999
Nifty Midcap 150,2016-04-26,28.49,2.34,1.22,66.66659999999999
Nifty Midcap 150,2016-04-27,28.48,2.34,1.22,66.6432
Nifty Midcap 150,2016-04-28,28.13,2.31,1.23,64.9803
Nifty Midcap 150,2016-04-29,27.88,2.31,1.23,64.4028
Nifty Midcap 150,2016-05-02,27.89,2.32,1.22,64.70479999999999
Nifty Midcap 150,2016-05-03,27.76,2.31,1.23,64.1256
Nifty Midcap 150,2016-05-04,28.46,2.29,1.24,65.1734
Nifty Midcap 150,2016-05-05,27.9,2.28,1.25,63.611999999999995
Nifty Midcap 150,2016-05-06,27.94,2.28,1.24,63.703199999999995
Nifty Midcap 150,2016-05-09,28.14,2.31,1.23,65.0034
Nifty Midcap 150,2016-05-10,28.11,2.31,1.23,64.9341
Nifty Midcap 150,2016-05-11,28.51,2.31,1.23,65.85810000000001
Nifty Midcap 150,2016-05-12,28.73,2.32,1.22,66.6536
Nifty Midcap 150,2016-05-13,28.71,2.32,1.22,66.60719999999999
Nifty Midcap 150,2016-05-16,29.41,2.32,1.22,68.2312
Nifty Midcap 150,2016-05-17,29.59,2.33,1.22,68.9447
Nifty Midcap 150,2016-05-18,30.2,2.34,1.21,70.66799999999999
Nifty Midcap 150,2016-05-19,29.53,2.3,1.23,67.919
Nifty Midcap 150,2016-05-20,29.31,2.29,1.24,67.1199
Nifty Midcap 150,2016-05-23,29.36,2.29,1.24,67.2344
Nifty Midcap 150,2016-05-24,30.61,2.28,1.24,69.79079999999999
Nifty Midcap 150,2016-05-25,30.69,2.3,1.23,70.587
Nifty Midcap 150,2016-05-26,32.45,2.33,1.22,75.6085
Nifty Midcap 150,2016-05-27,32.15,2.37,1.20,76.1955
Nifty Midcap 150,2016-05-30,33.46,2.39,1.19,79.96940000000001
Nifty Midcap 150,2016-05-31,33.37,2.38,1.19,79.4206
Nifty Midcap 150,2016-06-01,34.29,2.38,1.20,81.61019999999999
Nifty Midcap 150,2016-06-02,34.48,2.39,1.19,82.4072
Nifty Midcap 150,2016-06-03,34.23,2.38,1.20,81.46739999999998
Nifty Midcap 150,2016-06-06,34.25,2.39,1.19,81.8575
Nifty Midcap 150,2016-06-07,34.52,2.41,1.19,83.19320000000002
Nifty Midcap 150,2016-06-08,34.74,2.42,1.18,84.0708
Nifty Midcap 150,2016-06-09,34.67,2.42,1.18,83.9014
Nifty Midcap 150,2016-06-10,34.58,2.4,1.12,82.99199999999999
Nifty Midcap 150,2016-06-13,34.35,2.39,1.12,82.0965
Nifty Midcap 150,2016-06-14,34.57,2.4,1.12,82.968
Nifty Midcap 150,2016-06-15,34.77,2.42,1.11,84.1434
Nifty Midcap 150,2016-06-16,34.58,2.4,1.12,82.99199999999999
Nifty Midcap 150,2016-06-17,34.68,2.41,1.12,83.5788
Nifty Midcap 150,2016-06-20,34.83,2.42,1.11,84.28859999999999
