Index Name,DATE,pe,pb,divYield,pe*pb
Nifty Smallcap 250,2016-04-01,86.86,1.35,1.20,117.26100000000001
Nifty Smallcap 250,2016-04-04,82.83,1.36,1.19,112.64880000000001
Nifty Smallcap 250,2016-04-05,81.38,1.34,1.21,109.0492
Nifty Smallcap 250,2016-04-06,82.37,1.35,1.20,111.19950000000001
Nifty Smallcap 250,2016-04-07,82.1,1.35,1.20,110.835
Nifty Smallcap 250,2016-04-08,82.76,1.36,1.19,112.55360000000002
Nifty Smallcap 250,2016-04-11,83.34,1.37,1.18,114.17580000000001
Nifty Smallcap 250,2016-04-12,84.22,1.38,1.17,116.22359999999999
Nifty Smallcap 250,2016-04-13,85.13,1.4,1.16,119.18199999999999
Nifty Smallcap 250,2016-04-18,91.19,1.41,1.15,128.5779
Nifty Smallcap 250,2016-04-20,92.89,1.42,1.14,131.9038
Nifty Smallcap 250,2016-04-21,87.4,1.42,1.14,124.108
Nifty Smallcap 250,2016-04-22,86.2,1.42,1.14,122.404
Nifty Smallcap 250,2016-04-25,90.51,1.41,1.15,127.6191
Nifty Smallcap 250,2016-04-26,90.94,1.42,1.14,129.13479999999998
Nifty Smallcap 250,2016-04-27,91.16,1.42,1.14,129.44719999999998
Nifty Smallcap 250,2016-04-28,90.17,1.41,1.15,127.13969999999999
Nifty Smallcap 250,2016-04-29,93.33,1.42,1.16,132.52859999999998
Nifty Smallcap 250,2016-05-02,93.32,1.42,1.15,132.5144
Nifty Smallcap 250,2016-05-03,93.18,1.42,1.15,132.3156
Nifty Smallcap 250,2016-05-04,91.97,1.4,1.17,128.75799999999998
Nifty Smallcap 250,2016-05-05,90.8,1.4,1.17,127.11999999999999
Nifty Smallcap 250,2016-05-06,91.62,1.4,1.17,128.268
Nifty Smallcap 250,2016-05-09,92.49,1.42,1.15,131.33579999999998
Nifty Smallcap 250,2016-05-10,92.6,1.42,1.15,131.492
Nifty Smallcap 250,2016-05-11,95.32,1.42,1.15,135.35439999999997
Nifty Smallcap 250,2016-05-12,96.24,1.43,1.14,137.6232
Nifty Smallcap 250,2016-05-13,95.08,1.43,1.14,135.96439999999998
Nifty Smallcap 250,2016-05-16,92.24,1.43,1.15,131.9032
Nifty Smallcap 250,2016-05-17,90.33,1.43,1.14,129.1719
Nifty Smallcap 250,2016-05-18,87.51,1.44,1.14,126.01440000000001
Nifty Smallcap 250,2016-05-19,89.81,1.42,1.15,127.5302
Nifty Smallcap 250,2016-05-20,89.46,1.4,1.16,125.24399999999999
Nifty Smallcap 250,2016-05-23,89.59,1.4,1.17,125.426
Nifty Smallcap 250,2016-05-24,90.29,1.38,1.18,124.6002
Nifty Smallcap 250,2016-05-25,94.55,1.4,1.17,132.36999999999998
Nifty Smallcap 250,2016-05-26,94.7,1.41,1.16,133.527
Nifty Smallcap 250,2016-05-27,79.72,1.41,1.16,112.4052
Nifty Smallcap 250,2016-05-30,113.22,1.42,1.15,160.77239999999998
Nifty Smallcap 250,2016-05-31,109.07,1.42,1.15,154.87939999999998
Nifty Smallcap 250,2016-06-01,306.59,1.42,1.15,435.35779999999994
Nifty Smallcap 250,2016-06-02,,1.43,1.15,
Nifty Smallcap 250,2016-06-03,,1.42,1.15,
Nifty Smallcap 250,2016-06-06,,1.43,1.15,
Nifty Smallcap 250,2016-06-07,3202.45,1.44,1.14,4611.527999999999
Nifty Smallcap 250,2016-06-08,3236.47,1.45,1.12,4692.8814999999995
Nifty Smallcap 250,2016-06-09,3239.64,1.45,1.12,4697.478
Nifty Smallcap 250,2016-06-10,3241.32,1.45,1.11,4699.914
Nifty Smallcap 250,2016-06-13,6239.42,1.45,1.11,9047.159
Nifty Smallcap 250,2016-06-14,6277.06,1.46,1.10,9164.5076
Nifty Smallcap 250,2016-06-15,5378.34,1.48,1.09,7959.9432
Nifty Smallcap 250,2016-06-16,5358.36,1.47,1.10,7876.789199999999
Nifty Smallcap 250,2016-06-17,5396.91,1.48,1.08,7987.426799999999
Nifty Smallcap 250,2016-06-20,5407.02,1.48,1.08,8002.3896
Nifty Smallcap 250,2016-06-21,5424.94,1.49,1.07,8083.160599999999
Nifty Smallcap 250,2016-06-22,5392.86,1.48,1.08,7981.4328
Nifty Smallcap 250,2016-06-23,5382.84,1.47,1.08,7912.7748
Nifty Smallcap 250,2016-06-24,5284.67,1.45,1.07,7662.7715
Nifty Smallcap 250,2016-06-27,5394.0,1.48,1.05,7983.12
Nifty Smallcap 250,2016-06-28,1926.39,1.49,1.04,2870.3211
Nifty Smallcap 250,2016-06-29,1958.26,1.51,1.02,2956.9726
Nifty Smallcap 250,2016-06-30,1979.15,1.53,1.01,3028.0995000000003
Nifty Smallcap 250,2016-07-01,1994.24,1.54,1.00,3071.1296
Nifty Smallcap 250,2016-07-04,2017.29,1.56,0.99,3146.9724
Nifty Smallcap 250,2016-07-05,2021.53,1.56,0.99,3153.5868
Nifty Smallcap 250,2016-07-07,2023.9,1.56,0.99,3157.284
Nifty Smallcap 250,2016-07-08,2014.01,1.55,0.99,3121.7155000000002
Nifty Smallcap 250,2016-07-11,2030.86,1.57,0.99,3188.4501999999998
Nifty Smallcap 250,2016-07-12,1653.22,1.57,0.99,2595.5554
Nifty Smallcap 250,2016-07-13,1637.77,1.55,0.99,2538.5435
Nifty Smallcap 250,2016-07-14,1658.92,1.57,0.99,2604.5044000000003
Nifty Smallcap 250,2016-07-15,1530.54,1.56,0.99,2387.6424
Nifty Smallcap 250,2016-07-18,1524.03,1.55,1.00,2362.2465
Nifty Smallcap 250,2016-07-19,1523.91,1.55,1.00,2362.0605
Nifty Smallcap 250,2016-07-20,1538.33,1.56,0.99,2399.7948
Nifty Smallcap 250,2016-07-21,1537.08,1.56,0.99,2397.8448
Nifty Smallcap 250,2016-07-22,1543.21,1.57,0.99,2422.8397
Nifty Smallcap 250,2016-07-25,2161.35,1.58,1.01,3414.933
Nifty Smallcap 250,2016-07-26,2149.61,1.56,1.00,3353.3916000000004
Nifty Smallcap 250,2016-07-27,2158.9,1.56,1.00,3367.8840000000005
Nifty Smallcap 250,2016-07-28,44711.18,1.57,0.99,70196.55260000001
Nifty Smallcap 250,2016-07-29,44692.09,1.56,0.99,69719.6604
Nifty Smallcap 250,2016-08-01,44633.67,1.56,1.00,69628.5252
Nifty Smallcap 250,2016-08-02,44218.93,1.54,1.01,68097.1522
Nifty Smallcap 250,2016-08-03,43740.36,1.53,1.02,66922.75080000001
Nifty Smallcap 250,2016-08-04,43843.54,1.53,1.01,67080.6162
Nifty Smallcap 250,2016-08-05,44505.58,1.55,1.00,68983.649
Nifty Smallcap 250,2016-08-08,38241.95,1.57,0.99,60039.8615
Nifty Smallcap 250,2016-08-09,38101.95,1.56,0.99,59439.041999999994
Nifty Smallcap 250,2016-08-10,37617.81,1.54,1.01,57931.4274
Nifty Smallcap 250,2016-08-11,37561.85,1.53,1.05,57469.6305
Nifty Smallcap 250,2016-08-12,37546.59,1.54,1.05,57821.7486
Nifty Smallcap 250,2016-08-16,37548.45,1.54,1.05,57824.613
Nifty Smallcap 250,2016-08-17,37880.65,1.55,1.04,58715.00750000001
Nifty Smallcap 250,2016-08-18,38361.13,1.57,1.02,60226.9741
Nifty Smallcap 250,2016-08-19,38573.37,1.57,1.02,60560.19090000001
Nifty Smallcap 250,2016-08-22,38546.16,1.57,1.02,60517.47120000001
Nifty Smallcap 250,2016-08-23,,1.57,1.02,
Nifty Smallcap 250,2016-08-24,,1.58,1.02,
Nifty Smallcap 250,2016-08-25,,1.58,1.02,
Nifty Smallcap 250,2016-08-26,,1.57,1.02,
Nifty Smallcap 250,2016-08-29,,1.57,1.01,
Nifty Smallcap 250,2016-08-30,,1.58,1.01,
Nifty Smallcap 250,2016-08-31,,1.59,1.00,
Nifty Smallcap 250,2016-09-01,,1.57,1.01,
Nifty Smallcap 250,2016-09-02,,1.58,1.01,
Nifty Smallcap 250,2016-09-06,,1.6,1.00,
Nifty Smallcap 250,2016-09-07,,1.6,0.99,
Nifty Smallcap 250,2016-09-08,,1.62,0.98,
Nifty Smallcap 250,2016-09-09,,1.62,0.99,
Nifty Smallcap 250,2016-09-12,,1.57,1.02,
Nifty Smallcap 250,2016-09-14,,1.59,1.00,
Nifty Smallcap 250,2016-09-15,,1.6,1.00,
Nifty Smallcap 250,2016-09-16,,1.6,0.94,
Nifty Smallcap 250,2016-09-19,,1.62,0.94,
Nifty Smallcap 250,2016-09-20,,1.62,0.94,
Nifty Smallcap 250,2016-09-21,,1.62,0.94,
Nifty Smallcap 250,2016-09-22,,1.64,0.93,
Nifty Smallcap 250,2016-09-23,,1.63,0.93,
Nifty Smallcap 250,2016-09-26,,1.62,0.94,
Nifty Smallcap 250,2016-09-27,,1.62,0.95,
Nifty Smallcap 250,2016-09-28,,1.63,0.94,
Nifty Smallcap 250,2016-09-29,,1.56,0.98,
Nifty Smallcap 250,2016-09-30,,1.58,0.87,
Nifty Smallcap 250,2016-10-03,,1.62,0.85,
Nifty Smallcap 250,2016-10-04,,1.63,0.84,
Nifty Smallcap 250,2016-10-05,34089.55,1.65,0.84,56247.7575
Nifty Smallcap 250,2016-10-06,,1.64,0.84,
Nifty Smallcap 250,2016-10-07,,1.63,0.84,
Nifty Smallcap 250,2016-10-10,,1.64,0.84,
Nifty Smallcap 250,2016-10-13,6577.3,1.63,0.85,10720.999
Nifty Smallcap 250,2016-10-14,6101.18,1.64,0.85,10005.9352
Nifty Smallcap 250,2016-10-17,,1.64,0.85,
Nifty Smallcap 250,2016-10-18,,1.66,0.84,
Nifty Smallcap 250,2016-10-19,6169.87,1.67,0.84,10303.6829
Nifty Smallcap 250,2016-10-20,,1.7,0.82,
Nifty Smallcap 250,2016-10-21,,1.7,0.82,
Nifty Smallcap 250,2016-10-24,,1.72,0.81,
Nifty Smallcap 250,2016-10-25,,1.72,0.81,
Nifty Smallcap 250,2016-10-26,,1.7,0.82,
Nifty Smallcap 250,2016-10-27,,1.69,0.82,
Nifty Smallcap 250,2016-10-28,,1.7,0.82,
Nifty Smallcap 250,2016-10-30,,1.71,0.81,
Nifty Smallcap 250,2016-11-01,,1.71,0.81,
Nifty Smallcap 250,2016-11-02,,1.68,0.83,
Nifty Smallcap 250,2016-11-03,,1.66,0.84,
Nifty Smallcap 250,2016-11-04,,1.63,0.85,
Nifty Smallcap 250,2016-11-07,,1.65,0.84,
Nifty Smallcap 250,2016-11-08,,1.65,0.84,
Nifty Smallcap 250,2016-11-09,,1.61,0.87,
Nifty Smallcap 250,2016-11-10,,1.63,0.85,
Nifty Smallcap 250,2016-11-11,,1.57,0.88,
Nifty Smallcap 250,2016-11-15,,1.5,0.93,
Nifty Smallcap 250,2016-11-16,,1.5,0.93,
Nifty Smallcap 250,2016-11-17,,1.49,0.93,
Nifty Smallcap 250,2016-11-18,,1.5,0.93,
Nifty Smallcap 250,2016-11-21,,1.45,0.96,
Nifty Smallcap 250,2016-11-22,,1.46,0.95,
Nifty Smallcap 250,2016-11-23,,1.49,0.94,
Nifty Smallcap 250,2016-11-24,,1.49,0.94,
Nifty Smallcap 250,2016-11-25,,1.52,0.92,
Nifty Smallcap 250,2016-11-28,,1.54,0.91,
Nifty Smallcap 250,2016-11-29,,1.55,0.90,
Nifty Smallcap 250,2016-11-30,,1.57,0.89,
Nifty Smallcap 250,2016-12-01,,1.56,0.90,
Nifty Smallcap 250,2016-12-02,,1.54,0.91,
Nifty Smallcap 250,2016-12-05,,1.54,0.91,
Nifty Smallcap 250,2016-12-06,,1.54,0.91,
Nifty Smallcap 250,2016-12-07,,1.54,0.91,
Nifty Smallcap 250,2016-12-08,,1.55,0.90,
Nifty Smallcap 250,2016-12-09,,1.56,0.89,
Nifty Smallcap 250,2016-12-12,,1.55,0.90,
Nifty Smallcap 250,2016-12-13,,1.55,0.90,
Nifty Smallcap 250,2016-12-14,,1.54,0.91,
Nifty Smallcap 250,2016-12-15,,1.54,0.91,
Nifty Smallcap 250,2016-12-16,,1.54,0.91,
Nifty Smallcap 250,2016-12-19,,1.53,0.91,
Nifty Smallcap 250,2016-12-20,,1.52,0.92,
Nifty Smallcap 250,2016-12-21,,1.52,0.92,
Nifty Smallcap 250,2016-12-22,,1.5,0.93,
Nifty Smallcap 250,2016-12-23,,1.5,0.93,
Nifty Smallcap 250,2016-12-26,,1.46,0.95,
Nifty Smallcap 250,2016-12-27,,1.49,0.94,
Nifty Smallcap 250,2016-12-28,,1.5,0.93,
Nifty Smallcap 250,2016-12-29,,1.51,0.93,
